product_name,current_price,price,percent_discount,rating,link,brand_id,series,device
Samsung Inverter 12 Kg WA12T5360BY/SV,6.990.000₫,13.050.000₫,-46%,18,https://www.dienmayxanh.com/may-giat/samsung-wa12t5360by-sv,02,,Washing Machine
Samsung Inverter Giặt 21 Kg - Sấy 12 Kg WD21T6500GV/SV,24.490.000₫,33.590.000₫,-27%,16,https://www.dienmayxanh.com/may-giat/say-samsung-inverter-21-kg-wd21t6500gv-sv,02,,Washing Machine
Tủ chăm sóc quần áo thông minh Samsung Inverter 10 Kg DF10A9500CG/SV,39.990.000₫,48.500.000₫,-17%,5,https://www.dienmayxanh.com/may-giat/tu-cham-soc-quan-ao-thong-minh-samsung-df10a9500cg-sv,02,,Washing Machine
Samsung Inverter 24 Kg WF24B9600KV/SV Mới 2023,32.990.000₫,33.990.000₫,,,https://www.dienmayxanh.com/may-giat/may-giat-samsung-inverter-24-kg-wf24b9600kv-sv,02,,Washing Machine
Samsung Inverter 10 Kg WA10T5260BV/SV,7.050.000₫,11.250.000₫,-37%,46,https://www.dienmayxanh.com/may-giat/samsung-wa10t5260bv-sv,02,,Washing Machine
Samsung Inverter 10 Kg WA10T5260BY/SV,7.390.000₫,10.490.000₫,-29%,341,https://www.dienmayxanh.com/may-giat/samsung-wa10t5260by-sv,02,,Washing Machine
Tủ chăm sóc quần áo thông minh Samsung Inverter 6 Kg DF60A8500EG/SV,34.990.000₫,41.000.000₫,-14%,5,https://www.dienmayxanh.com/may-giat/tu-cham-soc-quan-ao-thong-minh-samsung-df60a8500eg-sv,02,,Washing Machine
Samsung Inverter 11 Kg WA11T5260BV/SV,Ngừng kinh doanh,,,19,https://www.dienmayxanh.com/may-giat/samsung-wa11t5260bv-sv,02,,Washing Machine
Samsung Inverter 17 Kg WA17CG6886BVSV Mới 2023,16.490.000₫,17.490.000₫,-5%,,https://www.dienmayxanh.com/may-giat/may-giat-samsung-inverter-17kg-wa17cg6886bvsv,02,,Washing Machine
Samsung Inverter Giặt 21 Kg - Sấy 12 Kg WD21B6400KV/SV,36.990.000₫,37.990.000₫,,,https://www.dienmayxanh.com/may-giat/may-giat-say-samsung-inverter-21-kg-wd21b6400kv-sv,02,,Washing Machine
Samsung Inverter Giặt 14 Kg - Sấy 8 Kg WD14BB944DGMSV,24.990.000₫,25.990.000₫,,,https://www.dienmayxanh.com/may-giat/may-giat-say-samsung-wd14bb944dgmsv,02,,Washing Machine
Samsung Inverter Giặt 12 Kg - Sấy 8 Kg WD12BB944DGHSV,22.990.000₫,23.990.000₫,,,https://www.dienmayxanh.com/may-giat/may-giat-say-samsung-wd12bb944dghsv,02,,Washing Machine
Samsung Inverter 14 Kg WW14BB944DGHSV Mới 2023,20.990.000₫,21.990.000₫,,,https://www.dienmayxanh.com/may-giat/may-giat-samsung-ww14bb944dghsv,02,,Washing Machine
Panasonic Inverter Giặt 9.5 Kg - Sấy tiện ích 2 Kg NA-V95FC1LVT,13.990.000₫,,,216,https://www.dienmayxanh.com/may-giat/may-giat-panasonic-inverter-95-kg-na-v95fc1lvt,03,,Washing Machine
Panasonic 8.5 Kg NA-F85A9BRV,6.790.000₫,,,690,https://www.dienmayxanh.com/may-giat/panasonic-85-kg-na-f85a9brv,03,,Washing Machine
Panasonic 9 Kg NA-F90A9BRV,7.590.000₫,,,214,https://www.dienmayxanh.com/may-giat/panasonic-9-kg-na-f90a9brv,03,,Washing Machine
Panasonic 10 Kg NA-F100A9BRV,8.590.000₫,,,122,https://www.dienmayxanh.com/may-giat/panasonic-10-kg-na-f100a9brv,03,,Washing Machine
Panasonic Inverter 10.5 Kg NA-FD10AR1BV,10.590.000₫,,,185,https://www.dienmayxanh.com/may-giat/panasonic-na-fd10ar1bv,03,,Washing Machine
Panasonic Inverter 9.5 Kg NA-FD95X1LRV,9.090.000₫,,,200,https://www.dienmayxanh.com/may-giat/panasonic-95kg-na-fd95x1lrv,03,,Washing Machine
Panasonic Inverter 11.5 Kg NA-FD11AR1BV,11.990.000₫,,,233,https://www.dienmayxanh.com/may-giat/panasonic-na-fd11ar1bv,03,,Washing Machine
Panasonic Inverter 9.5 Kg NA-FD95V1BRV,10.590.000₫,,,162,https://www.dienmayxanh.com/may-giat/panasonic-na-fd95v1brv,03,,Washing Machine
Panasonic Inverter 12.5 Kg NA-FD125V1BV,15.090.000₫,,,59,https://www.dienmayxanh.com/may-giat/panasonic-na-fd125v1bv,03,,Washing Machine
Panasonic Inverter 10.5 Kg NA-FD10VR1BV,11.990.000₫,,,137,https://www.dienmayxanh.com/may-giat/panasonic-na-fd10vr1bv,03,,Washing Machine
Panasonic Inverter Giặt 10.5 Kg - Sấy tiện ích 2 Kg NA-V105FC1LV,15.090.000₫,,,80,https://www.dienmayxanh.com/may-giat/may-giat-panasonic-inverter-105-kg-na-v105fc1lv,03,,Washing Machine
Panasonic Inverter Giặt 9.5 Kg - Sấy 6 Kg NA-S956FR1BV,19.090.000₫,,,38,https://www.dienmayxanh.com/may-giat/may-giat-say-panasonic-inverter-95-kg-na-s956fr1bv,03,,Washing Machine
Panasonic Inverter Giặt 9.5 Kg - Sấy tiện ích 2 Kg NA-V95FR1BVT,15.590.000₫,,,36,https://www.dienmayxanh.com/may-giat/may-giat-panasonic-inverter-95-kg-na-v95fr1bvt,03,,Washing Machine
Panasonic Inverter Giặt 10.5 Kg - Sấy 6 Kg NA-S056FR1BV,20.090.000₫,,,28,https://www.dienmayxanh.com/may-giat/may-giat-say-panasonic-inverter-105-kg-na-s056fr1bv,03,,Washing Machine
Panasonic Inverter Giặt 10 Kg - Sấy 6 Kg NA-S106FC1LV,17.990.000₫,,,43,https://www.dienmayxanh.com/may-giat/may-giat-say-panasonic-inverter-10-kg-na-s106fc1lv,03,,Washing Machine
Panasonic Inverter Giặt 10.5 Kg - Sấy tiện ích 2 Kg NA-V105FR1BV,16.590.000₫,,,50,https://www.dienmayxanh.com/may-giat/say-panasonic-inverter-105kg-na-v105fr1bv,03,,Washing Machine
Panasonic Inverter 14 Kg NA-FD14V1BRV,17.090.000₫,,,17,https://www.dienmayxanh.com/may-giat/panasonic-na-fd14v1brv,03,,Washing Machine
Panasonic Inverter 16 Kg NA-FD16V1BRV,20.090.000₫,,,17,https://www.dienmayxanh.com/may-giat/panasonic-na-fd16v1brv,03,,Washing Machine
Panasonic Inverter Giặt 9 Kg - Sấy 6 Kg NA-S96FC1LVT,16.990.000₫,,,49,https://www.dienmayxanh.com/may-giat/may-giat-say-panasonic-inverter-9-kg-na-s96fc1lvt,03,,Washing Machine
Toshiba 7 Kg AW-L805AV (SG),3.990.000₫,5.190.000₫,-23%,316,https://www.dienmayxanh.com/may-giat/toshiba-7-kg-aw-l805av-sg,04,,Washing Machine
Toshiba 9 Kg M1000FV(MK),5.690.000₫,5.990.000₫,-5%,35,https://www.dienmayxanh.com/may-giat/may-giat-toshiba-9-kg-aw-m1000fv-mk,04,,Washing Machine
Toshiba 9 Kg AW-K1005FV(SG),4.990.000₫,6.890.000₫,-27%,265,https://www.dienmayxanh.com/may-giat/toshiba-aw-k1005fv-sg,04,,Washing Machine
Toshiba Inverter 9.5 Kg TW-BK105S2V(WS),7.390.000₫,7.690.000₫,,219,https://www.dienmayxanh.com/may-giat/toshiba-tw-bk105s2v-ws,04,,Washing Machine
Toshiba Inverter 10.5 Kg TW-BK115G4V (MG),9.990.000₫,10.490.000₫,,44,https://www.dienmayxanh.com/may-giat/toshiba-tw-bk115g4v-mg,04,,Washing Machine
Toshiba Inverter 10 Kg AW-DM1100PV(KK),6.990.000₫,7.990.000₫,-12%,40,https://www.dienmayxanh.com/may-giat/toshiba-inverter-10kg-aw-dm1100pv-kk,04,,Washing Machine
Toshiba 8 Kg M905BVMK,4.990.000₫,5.490.000₫,-9%,69,https://www.dienmayxanh.com/may-giat/may-giat-toshiba-8kg-aw-m905bvmk,04,,Washing Machine
Toshiba 10 Kg AW-M1100PV(MK),5.990.000₫,6.990.000₫,-14%,30,https://www.dienmayxanh.com/may-giat/may-giat-toshiba-10-kg-aw-m1100pv-mk,04,,Washing Machine
Toshiba Inverter 8.5 Kg TW-BH95S2V WK,6.690.000₫,6.990.000₫,,533,https://www.dienmayxanh.com/may-giat/toshiba-tw-bh95s2v-wk,04,,Washing Machine
Toshiba Inverter 9.5 Kg TW-BL105A4V(SS),7.990.000₫,8.990.000₫,-11%,121,https://www.dienmayxanh.com/may-giat/toshiba-95-kg-tw-bl105a4v-ss,04,,Washing Machine
Toshiba Inverter 9.5 Kg TW-BK105S3V(SK),8.390.000₫,8.690.000₫,,106,https://www.dienmayxanh.com/may-giat/toshiba-tw-bk105s3v-sk,04,,Washing Machine
Toshiba Inverter 12 Kg AW-DUK1300KV(SG),8.490.000₫,8.990.000₫,-5%,23,https://www.dienmayxanh.com/may-giat/toshiba-inverter-12-kg-aw-duk1300kv-sg,04,,Washing Machine
Toshiba Inverter 8.5 Kg TW-BL95A4V(SS),6.990.000₫,7.990.000₫,-12%,28,https://www.dienmayxanh.com/may-giat/toshiba-inverter-85-kg-tw-bl95a4v-ss,04,,Washing Machine
Toshiba Inverter 9 Kg AW-DK1000FV(KK),6.990.000₫,,,102,https://www.dienmayxanh.com/may-giat/toshiba-aw-dk1000fv-kk,04,,Washing Machine
Toshiba Inverter 9.5 Kg TW-BK105G4V(MG),8.990.000₫,9.990.000₫,-10%,62,https://www.dienmayxanh.com/may-giat/toshiba-tw-bk105g4v-mg,04,,Washing Machine
Toshiba Inverter 10.5 Kg TW-BL115A2V(SS),9.790.000₫,9.990.000₫,,19,https://www.dienmayxanh.com/may-giat/toshiba-105-kg-tw-bl115a2v-ss,04,,Washing Machine
Toshiba 8 Kg AW-K905DV(SG),4.490.000₫,6.490.000₫,-30%,84,https://www.dienmayxanh.com/may-giat/toshiba-aw-k905dv-sg,04,,Washing Machine
Toshiba Inverter 10.5 Kg AW-DUK1150HV(MG),7.040.000₫,9.090.000₫,-22%,36,https://www.dienmayxanh.com/may-giat/toshiba-10-5-kg-aw-duk1150hv-mg,04,,Washing Machine
Toshiba Inverter 10 Kg AW-DUM1100JV(SG),9.890.000₫,10.590.000₫,-6%,,https://www.dienmayxanh.com/may-giat/toshiba-inverter-10kg-aw-dum1100jv-sg,04,,Washing Machine
Toshiba Inverter Giặt 12.5 Kg - Sấy 8 Kg TWD-BM135GF4V(MG),14.990.000₫,,,,https://www.dienmayxanh.com/may-giat/may-giat-say-toshiba-inverter-twd-bm135gf4v-mg,04,,Washing Machine
Toshiba Inverter 12 Kg AW-DUM1300KV(MG),11.690.000₫,12.990.000₫,-10%,4,https://www.dienmayxanh.com/may-giat/toshiba-inverter-12kg-aw-dum1300kv-mg,04,,Washing Machine
Toshiba Inverter Giặt 10.5 Kg - Sấy 7 Kg TWD-BM115GF4V(SK),12.990.000₫,,,,https://www.dienmayxanh.com/may-giat/may-giat-say-toshiba-twd-bm115gf4v-sk,04,,Washing Machine
Electrolux Inverter 10 Kg EWF1024P5SB,10.750.000₫,16.990.000₫,-36%,323,https://www.dienmayxanh.com/may-giat/electrolux-inverter-10-kg-ewf1024p5sb,05,,Washing Machine
Electrolux Inverter 9 Kg EWF9024P5WB,8.790.000₫,13.990.000₫,-37%,129,https://www.dienmayxanh.com/may-giat/electrolux-inverter-9-kg-ewf9024p5wb,05,,Washing Machine
Electrolux Inverter 10 Kg EWF1024P5WB,9.750.000₫,15.990.000₫,-39%,235,https://www.dienmayxanh.com/may-giat/electrolux-inverter-10-kg-ewf1024p5wb,05,,Washing Machine
Electrolux Inverter 10 Kg EWF1024M3SB Mới 2023,10.590.000₫,14.990.000₫,-29%,41,https://www.dienmayxanh.com/may-giat/may-giat-electrolux-inverter-10-kg-ewf1024m3sb,05,,Washing Machine
Electrolux Inverter 9 Kg EWF9024P5SB,9.750.000₫,14.990.000₫,-34%,110,https://www.dienmayxanh.com/may-giat/electrolux-inverter-9-kg-ewf9024p5sb,05,,Washing Machine
Electrolux Inverter 10 Kg EWF1024D3WB Mới 2023,8.990.000₫,13.990.000₫,-35%,35,https://www.dienmayxanh.com/may-giat/may-giat-electrolux-inverter-10-kg-ewf1024d3wb,05,,Washing Machine
Electrolux Inverter Giặt 9 Kg - Sấy 6 Kg EWW9024P5WB,12.990.000₫,19.990.000₫,-35%,41,https://www.dienmayxanh.com/may-giat/say-electrolux-inverter-9-kg-eww9024p5wb,05,,Washing Machine
Electrolux Inverter Giặt 10 Kg - Sấy 7 Kg EWW1024P5WB,17.990.000₫,21.990.000₫,-18%,28,https://www.dienmayxanh.com/may-giat/say-electrolux-inverter-10-kg-eww1024p5wb,05,,Washing Machine
Electrolux Inverter 8 Kg EWF8024P5WB,7.990.000₫,11.990.000₫,-33%,45,https://www.dienmayxanh.com/may-giat/electrolux-inverter-8-kg-ewf8024p5wb,05,,Washing Machine
Electrolux Inverter 8 Kg EWF8024P5SB,8.990.000₫,12.990.000₫,-30%,45,https://www.dienmayxanh.com/may-giat/electrolux-inverter-8-kg-ewf8024p5sb,05,,Washing Machine
Electrolux Inverter 11 Kg EWF1142Q7WB,14.990.000₫,19.990.000₫,-25%,14,https://www.dienmayxanh.com/may-giat/electrolux-inverter-11-kg-ewf1142q7wb,05,,Washing Machine
Electrolux Inverter 10 Kg EWF1042R7SB,13.990.000₫,18.990.000₫,-26%,14,https://www.dienmayxanh.com/may-giat/electrolux-inverter-10-kg-ewf1042r7sb,05,,Washing Machine
Electrolux Inverter 10 Kg EWF1042Q7WB,12.990.000₫,17.990.000₫,-27%,15,https://www.dienmayxanh.com/may-giat/electrolux-inverter-10-kg-ewf1042q7wb,05,,Washing Machine
Electrolux Inverter 9 Kg EWF9042R7SB,13.490.000₫,16.990.000₫,-20%,12,https://www.dienmayxanh.com/may-giat/electrolux-inverter-9-kg-ewf9042r7sb,05,,Washing Machine
Electrolux Inverter 10 Kg EWF1024BDWA,10.490.000₫,13.290.000₫,-21%,1212,https://www.dienmayxanh.com/may-giat/electrolux-ewf1024bdwa,05,,Washing Machine
Electrolux Inverter 11 Kg EWF1141R9SB,16.990.000₫,25.990.000₫,-34%,8,https://www.dienmayxanh.com/may-giat/electrolux-inverter-11-kg-ewf1141r9sb,05,,Washing Machine
